entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccumulatedRevaluationsOfInvestments,AddressOfAuditorCountry,AddressOfAuditorDistrictName,AddressOfAuditorPostCodeIdentifier,AddressOfAuditorStreetBuildingIdentifier,AddressOfAuditorStreetName,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnExtendedReviewOfFinancialStatements,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,DateOfApprovalOfAnnualReport,DateOfApprovalOfReport,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,DescriptionOfAuditor,DescriptionOfMethodsOfRecognitionAndMeasurementBasisOfEquity,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationNumberOfAuditor,IdentificationOfApprovedAnnualReport,InformationOnTypeOfSubmittedReport,InvestmentsGross,ManagementsStatementAboutManagementsReview,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfAuditFirm,NameOfReportingEntity,NameOfSubmittingEnterprise,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,RecognisedButNotOwnedAssets,RelatedEntityName,RelatedEntityRegisteredOffice,ReportingPeriodEndDate,ReportingPeriodStartDate,ShareHeldByEntityOrConsolidatedEnterprisesInRelatedEntity,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,StatementOnOptingOutOfAuditingFinancialStatementsInNextReportingPeriodDueToExemption,TelephoneNumberOfAuditor,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Equity,ProfitLoss,ProfitLossRelatedToInvestments,GrossProfitLoss,IncomeFromInvestmentsInAssociates,OtherFinanceExpenses,OtherFinanceIncome,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,TaxExpenseOnOrdinaryActivities,Dividend,DividendPaid,LongtermInvestmentsAndReceivables,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsInAssociates,NoncurrentAssets,OtherLongtermInvestments,OtherShorttermInvestments,OtherShorttermPayables,ProposedDividendRecognisedInEquity,RetainedEarnings,ShorttermInvestments,ShorttermLiabilitiesOtherThanProvisions,ShorttermReceivables,ShorttermReceivablesFromAssociates,ShorttermTaxPayables,ShorttermTradePayables
36903791,2017-11-01,2018-10-31,c105,,http://regnskaber.virk.dk/19730963/ZG9rdW1lbnRsYWdlcjovLzAzLzdjL2Q5L2MzL2Y1LzU3ZDgtNDhiZi1iZmQ4LWRjN2FmNjVjN2E1Zg.pdf,http://regnskaber.virk.dk/19730963/ZG9rdW1lbnRsYWdlcjovLzAzLzBlL2QyLzE2LzY4L2YzODctNDMyOS04NmQ0LWI2YTk1MjhmZDNjMg.xml,,Danmark,Esbjerg N,6715.0,4.0,Edison Park,Bramming,6740.0,14.0,Stationsvej,"6715, Esbjerg N","Edison Park, 4",kapitalejerne,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. oktober 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. november 2017 - 31. oktober 2018.",2018-12-18,2018-12-18,2015-03-01,2019-01-16,statsautoriseret revisor,Egenkapital,32285201.0,36903791.0,32285201.0,mne19733,Direktionen har dags dato aflagt Ã¥rsrapporten for 2017/18 for Hans-JÃ¸rn Madsen Holding ApS.,Ãrsrapport,,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",SÃ¸ren RishÃ¸j,Hans-JÃ¸rn Madsen,Hans-JÃ¸rn Madsen,"Martinsen, Statsautoriseret Revisionspartnerselskab",Hans-JÃ¸rn Madsen Holding ApS,"Martinsen, Statsautoriseret Revisionspartnerselskab",Bramming,2016-11-01,2017-10-31,0.0,Vejrup Maskincenter A/S,Esbjerg,2018-10-31,2017-11-01,40.0,2018-12-18,Esbjerg,"Der trÃ¦ffes pÃ¥ generalforsamlingen den 16. januar 2019 beslutning om, at Ã¥rsregnskabet for 2018/19 og fremover ikke skal revideres. Direktionen anser betingelserne for at undlade revision for opfyldt.",76 11 44 00,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:26673086,indberetninger-20180424,2.5117166,36903791.0,AWjgylrtet7j816D4DZt,2019-02-12T08:20:42.264Z,2019-02-12T08:19:43.480Z,regnskab,0.0,,2018-10-31,2017-11-01,X19-AK-41-FW,2019-02-12T08:19:43.984Z,,108000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36903791,2017-11-01,2018-10-31,c119,,http://regnskaber.virk.dk/19730963/ZG9rdW1lbnRsYWdlcjovLzAzLzdjL2Q5L2MzL2Y1LzU3ZDgtNDhiZi1iZmQ4LWRjN2FmNjVjN2E1Zg.pdf,http://regnskaber.virk.dk/19730963/ZG9rdW1lbnRsYWdlcjovLzAzLzBlL2QyLzE2LzY4L2YzODctNDMyOS04NmQ0LWI2YTk1MjhmZDNjMg.xml,,Danmark,Esbjerg N,6715.0,4.0,Edison Park,Bramming,6740.0,14.0,Stationsvej,"6715, Esbjerg N","Edison Park, 4",kapitalejerne,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. oktober 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. november 2017 - 31. oktober 2018.",2018-12-18,2018-12-18,2015-03-01,2019-01-16,statsautoriseret revisor,Egenkapital,32285201.0,36903791.0,32285201.0,mne19733,Direktionen har dags dato aflagt Ã¥rsrapporten for 2017/18 for Hans-JÃ¸rn Madsen Holding ApS.,Ãrsrapport,,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",SÃ¸ren RishÃ¸j,Hans-JÃ¸rn Madsen,Hans-JÃ¸rn Madsen,"Martinsen, Statsautoriseret Revisionspartnerselskab",Hans-JÃ¸rn Madsen Holding ApS,"Martinsen, Statsautoriseret Revisionspartnerselskab",Bramming,2016-11-01,2017-10-31,0.0,Vejrup Maskincenter A/S,Esbjerg,2018-10-31,2017-11-01,40.0,2018-12-18,Esbjerg,"Der trÃ¦ffes pÃ¥ generalforsamlingen den 16. januar 2019 beslutning om, at Ã¥rsregnskabet for 2018/19 og fremover ikke skal revideres. Direktionen anser betingelserne for at undlade revision for opfyldt.",76 11 44 00,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:26673086,indberetninger-20180424,2.5117166,36903791.0,AWjgylrtet7j816D4DZt,2019-02-12T08:20:42.264Z,2019-02-12T08:19:43.480Z,regnskab,0.0,,2018-10-31,2017-11-01,X19-AK-41-FW,2019-02-12T08:19:43.984Z,,-140534.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36903791,2017-11-01,2018-10-31,c196,,http://regnskaber.virk.dk/19730963/ZG9rdW1lbnRsYWdlcjovLzAzLzdjL2Q5L2MzL2Y1LzU3ZDgtNDhiZi1iZmQ4LWRjN2FmNjVjN2E1Zg.pdf,http://regnskaber.virk.dk/19730963/ZG9rdW1lbnRsYWdlcjovLzAzLzBlL2QyLzE2LzY4L2YzODctNDMyOS04NmQ0LWI2YTk1MjhmZDNjMg.xml,,Danmark,Esbjerg N,6715.0,4.0,Edison Park,Bramming,6740.0,14.0,Stationsvej,"6715, Esbjerg N","Edison Park, 4",kapitalejerne,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. oktober 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. november 2017 - 31. oktober 2018.",2018-12-18,2018-12-18,2015-03-01,2019-01-16,statsautoriseret revisor,Egenkapital,32285201.0,36903791.0,32285201.0,mne19733,Direktionen har dags dato aflagt Ã¥rsrapporten for 2017/18 for Hans-JÃ¸rn Madsen Holding ApS.,Ãrsrapport,,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",SÃ¸ren RishÃ¸j,Hans-JÃ¸rn Madsen,Hans-JÃ¸rn Madsen,"Martinsen, Statsautoriseret Revisionspartnerselskab",Hans-JÃ¸rn Madsen Holding ApS,"Martinsen, Statsautoriseret Revisionspartnerselskab",Bramming,2016-11-01,2017-10-31,0.0,Vejrup Maskincenter A/S,Esbjerg,2018-10-31,2017-11-01,40.0,2018-12-18,Esbjerg,"Der trÃ¦ffes pÃ¥ generalforsamlingen den 16. januar 2019 beslutning om, at Ã¥rsregnskabet for 2018/19 og fremover ikke skal revideres. Direktionen anser betingelserne for at undlade revision for opfyldt.",76 11 44 00,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:26673086,indberetninger-20180424,2.5117166,36903791.0,AWjgylrtet7j816D4DZt,2019-02-12T08:20:42.264Z,2019-02-12T08:19:43.480Z,regnskab,0.0,,2018-10-31,2017-11-01,X19-AK-41-FW,2019-02-12T08:19:43.984Z,,-140534.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36903791,2017-11-01,2018-10-31,c199,,http://regnskaber.virk.dk/19730963/ZG9rdW1lbnRsYWdlcjovLzAzLzdjL2Q5L2MzL2Y1LzU3ZDgtNDhiZi1iZmQ4LWRjN2FmNjVjN2E1Zg.pdf,http://regnskaber.virk.dk/19730963/ZG9rdW1lbnRsYWdlcjovLzAzLzBlL2QyLzE2LzY4L2YzODctNDMyOS04NmQ0LWI2YTk1MjhmZDNjMg.xml,,Danmark,Esbjerg N,6715.0,4.0,Edison Park,Bramming,6740.0,14.0,Stationsvej,"6715, Esbjerg N","Edison Park, 4",kapitalejerne,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. oktober 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. november 2017 - 31. oktober 2018.",2018-12-18,2018-12-18,2015-03-01,2019-01-16,statsautoriseret revisor,Egenkapital,32285201.0,36903791.0,32285201.0,mne19733,Direktionen har dags dato aflagt Ã¥rsrapporten for 2017/18 for Hans-JÃ¸rn Madsen Holding ApS.,Ãrsrapport,,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",SÃ¸ren RishÃ¸j,Hans-JÃ¸rn Madsen,Hans-JÃ¸rn Madsen,"Martinsen, Statsautoriseret Revisionspartnerselskab",Hans-JÃ¸rn Madsen Holding ApS,"Martinsen, Statsautoriseret Revisionspartnerselskab",Bramming,2016-11-01,2017-10-31,0.0,Vejrup Maskincenter A/S,Esbjerg,2018-10-31,2017-11-01,40.0,2018-12-18,Esbjerg,"Der trÃ¦ffes pÃ¥ generalforsamlingen den 16. januar 2019 beslutning om, at Ã¥rsregnskabet for 2018/19 og fremover ikke skal revideres. Direktionen anser betingelserne for at undlade revision for opfyldt.",76 11 44 00,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:26673086,indberetninger-20180424,2.5117166,36903791.0,AWjgylrtet7j816D4DZt,2019-02-12T08:20:42.264Z,2019-02-12T08:19:43.480Z,regnskab,0.0,,2018-10-31,2017-11-01,X19-AK-41-FW,2019-02-12T08:19:43.984Z,,,,,,,,,,,108000.0,105800.0,,,,,,,,,,,,,,,,,,,,
36903791,2017-11-01,2018-10-31,c233,,http://regnskaber.virk.dk/19730963/ZG9rdW1lbnRsYWdlcjovLzAzLzdjL2Q5L2MzL2Y1LzU3ZDgtNDhiZi1iZmQ4LWRjN2FmNjVjN2E1Zg.pdf,http://regnskaber.virk.dk/19730963/ZG9rdW1lbnRsYWdlcjovLzAzLzBlL2QyLzE2LzY4L2YzODctNDMyOS04NmQ0LWI2YTk1MjhmZDNjMg.xml,,Danmark,Esbjerg N,6715.0,4.0,Edison Park,Bramming,6740.0,14.0,Stationsvej,"6715, Esbjerg N","Edison Park, 4",kapitalejerne,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. oktober 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. november 2017 - 31. oktober 2018.",2018-12-18,2018-12-18,2015-03-01,2019-01-16,statsautoriseret revisor,Egenkapital,32285201.0,36903791.0,32285201.0,mne19733,Direktionen har dags dato aflagt Ã¥rsrapporten for 2017/18 for Hans-JÃ¸rn Madsen Holding ApS.,Ãrsrapport,,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",SÃ¸ren RishÃ¸j,Hans-JÃ¸rn Madsen,Hans-JÃ¸rn Madsen,"Martinsen, Statsautoriseret Revisionspartnerselskab",Hans-JÃ¸rn Madsen Holding ApS,"Martinsen, Statsautoriseret Revisionspartnerselskab",Bramming,2016-11-01,2017-10-31,0.0,Vejrup Maskincenter A/S,Esbjerg,2018-10-31,2017-11-01,40.0,2018-12-18,Esbjerg,"Der trÃ¦ffes pÃ¥ generalforsamlingen den 16. januar 2019 beslutning om, at Ã¥rsregnskabet for 2018/19 og fremover ikke skal revideres. Direktionen anser betingelserne for at undlade revision for opfyldt.",76 11 44 00,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:26673086,indberetninger-20180424,2.5117166,36903791.0,AWjgylrtet7j816D4DZt,2019-02-12T08:20:42.264Z,2019-02-12T08:19:43.480Z,regnskab,0.0,,2018-10-31,2017-11-01,X19-AK-41-FW,2019-02-12T08:19:43.984Z,,,30444.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36903791,2017-11-01,2018-10-31,c678,,http://regnskaber.virk.dk/19730963/ZG9rdW1lbnRsYWdlcjovLzAzLzdjL2Q5L2MzL2Y1LzU3ZDgtNDhiZi1iZmQ4LWRjN2FmNjVjN2E1Zg.pdf,http://regnskaber.virk.dk/19730963/ZG9rdW1lbnRsYWdlcjovLzAzLzBlL2QyLzE2LzY4L2YzODctNDMyOS04NmQ0LWI2YTk1MjhmZDNjMg.xml,,Danmark,Esbjerg N,6715.0,4.0,Edison Park,Bramming,6740.0,14.0,Stationsvej,"6715, Esbjerg N","Edison Park, 4",kapitalejerne,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. oktober 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. november 2017 - 31. oktober 2018.",2018-12-18,2018-12-18,2015-03-01,2019-01-16,statsautoriseret revisor,Egenkapital,32285201.0,36903791.0,32285201.0,mne19733,Direktionen har dags dato aflagt Ã¥rsrapporten for 2017/18 for Hans-JÃ¸rn Madsen Holding ApS.,Ãrsrapport,,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",SÃ¸ren RishÃ¸j,Hans-JÃ¸rn Madsen,Hans-JÃ¸rn Madsen,"Martinsen, Statsautoriseret Revisionspartnerselskab",Hans-JÃ¸rn Madsen Holding ApS,"Martinsen, Statsautoriseret Revisionspartnerselskab",Bramming,2016-11-01,2017-10-31,0.0,Vejrup Maskincenter A/S,Esbjerg,2018-10-31,2017-11-01,40.0,2018-12-18,Esbjerg,"Der trÃ¦ffes pÃ¥ generalforsamlingen den 16. januar 2019 beslutning om, at Ã¥rsregnskabet for 2018/19 og fremover ikke skal revideres. Direktionen anser betingelserne for at undlade revision for opfyldt.",76 11 44 00,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:26673086,indberetninger-20180424,2.5117166,36903791.0,AWjgylrtet7j816D4DZt,2019-02-12T08:20:42.264Z,2019-02-12T08:19:43.480Z,regnskab,0.0,,2018-10-31,2017-11-01,X19-AK-41-FW,2019-02-12T08:19:43.984Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36903791,2017-11-01,2018-10-31,c70,,http://regnskaber.virk.dk/19730963/ZG9rdW1lbnRsYWdlcjovLzAzLzdjL2Q5L2MzL2Y1LzU3ZDgtNDhiZi1iZmQ4LWRjN2FmNjVjN2E1Zg.pdf,http://regnskaber.virk.dk/19730963/ZG9rdW1lbnRsYWdlcjovLzAzLzBlL2QyLzE2LzY4L2YzODctNDMyOS04NmQ0LWI2YTk1MjhmZDNjMg.xml,,Danmark,Esbjerg N,6715.0,4.0,Edison Park,Bramming,6740.0,14.0,Stationsvej,"6715, Esbjerg N","Edison Park, 4",kapitalejerne,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. oktober 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. november 2017 - 31. oktober 2018.",2018-12-18,2018-12-18,2015-03-01,2019-01-16,statsautoriseret revisor,Egenkapital,32285201.0,36903791.0,32285201.0,mne19733,Direktionen har dags dato aflagt Ã¥rsrapporten for 2017/18 for Hans-JÃ¸rn Madsen Holding ApS.,Ãrsrapport,,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",SÃ¸ren RishÃ¸j,Hans-JÃ¸rn Madsen,Hans-JÃ¸rn Madsen,"Martinsen, Statsautoriseret Revisionspartnerselskab",Hans-JÃ¸rn Madsen Holding ApS,"Martinsen, Statsautoriseret Revisionspartnerselskab",Bramming,2016-11-01,2017-10-31,0.0,Vejrup Maskincenter A/S,Esbjerg,2018-10-31,2017-11-01,40.0,2018-12-18,Esbjerg,"Der trÃ¦ffes pÃ¥ generalforsamlingen den 16. januar 2019 beslutning om, at Ã¥rsregnskabet for 2018/19 og fremover ikke skal revideres. Direktionen anser betingelserne for at undlade revision for opfyldt.",76 11 44 00,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:26673086,indberetninger-20180424,2.5117166,36903791.0,AWjgylrtet7j816D4DZt,2019-02-12T08:20:42.264Z,2019-02-12T08:19:43.480Z,regnskab,0.0,,2018-10-31,2017-11-01,X19-AK-41-FW,2019-02-12T08:19:43.984Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36903791,2017-11-01,2018-10-31,c87,,http://regnskaber.virk.dk/19730963/ZG9rdW1lbnRsYWdlcjovLzAzLzdjL2Q5L2MzL2Y1LzU3ZDgtNDhiZi1iZmQ4LWRjN2FmNjVjN2E1Zg.pdf,http://regnskaber.virk.dk/19730963/ZG9rdW1lbnRsYWdlcjovLzAzLzBlL2QyLzE2LzY4L2YzODctNDMyOS04NmQ0LWI2YTk1MjhmZDNjMg.xml,,Danmark,Esbjerg N,6715.0,4.0,Edison Park,Bramming,6740.0,14.0,Stationsvej,"6715, Esbjerg N","Edison Park, 4",kapitalejerne,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. oktober 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. november 2017 - 31. oktober 2018.",2018-12-18,2018-12-18,2015-03-01,2019-01-16,statsautoriseret revisor,Egenkapital,32285201.0,36903791.0,32285201.0,mne19733,Direktionen har dags dato aflagt Ã¥rsrapporten for 2017/18 for Hans-JÃ¸rn Madsen Holding ApS.,Ãrsrapport,,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",SÃ¸ren RishÃ¸j,Hans-JÃ¸rn Madsen,Hans-JÃ¸rn Madsen,"Martinsen, Statsautoriseret Revisionspartnerselskab",Hans-JÃ¸rn Madsen Holding ApS,"Martinsen, Statsautoriseret Revisionspartnerselskab",Bramming,2016-11-01,2017-10-31,0.0,Vejrup Maskincenter A/S,Esbjerg,2018-10-31,2017-11-01,40.0,2018-12-18,Esbjerg,"Der trÃ¦ffes pÃ¥ generalforsamlingen den 16. januar 2019 beslutning om, at Ã¥rsregnskabet for 2018/19 og fremover ikke skal revideres. Direktionen anser betingelserne for at undlade revision for opfyldt.",76 11 44 00,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:26673086,indberetninger-20180424,2.5117166,36903791.0,AWjgylrtet7j816D4DZt,2019-02-12T08:20:42.264Z,2019-02-12T08:19:43.480Z,regnskab,0.0,,2018-10-31,2017-11-01,X19-AK-41-FW,2019-02-12T08:19:43.984Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36903791,2018-10-31,2018-10-31,c179,,http://regnskaber.virk.dk/19730963/ZG9rdW1lbnRsYWdlcjovLzAzLzdjL2Q5L2MzL2Y1LzU3ZDgtNDhiZi1iZmQ4LWRjN2FmNjVjN2E1Zg.pdf,http://regnskaber.virk.dk/19730963/ZG9rdW1lbnRsYWdlcjovLzAzLzBlL2QyLzE2LzY4L2YzODctNDMyOS04NmQ0LWI2YTk1MjhmZDNjMg.xml,,Danmark,Esbjerg N,6715.0,4.0,Edison Park,Bramming,6740.0,14.0,Stationsvej,"6715, Esbjerg N","Edison Park, 4",kapitalejerne,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. oktober 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. november 2017 - 31. oktober 2018.",2018-12-18,2018-12-18,2015-03-01,2019-01-16,statsautoriseret revisor,Egenkapital,32285201.0,36903791.0,32285201.0,mne19733,Direktionen har dags dato aflagt Ã¥rsrapporten for 2017/18 for Hans-JÃ¸rn Madsen Holding ApS.,Ãrsrapport,,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",SÃ¸ren RishÃ¸j,Hans-JÃ¸rn Madsen,Hans-JÃ¸rn Madsen,"Martinsen, Statsautoriseret Revisionspartnerselskab",Hans-JÃ¸rn Madsen Holding ApS,"Martinsen, Statsautoriseret Revisionspartnerselskab",Bramming,2016-11-01,2017-10-31,0.0,Vejrup Maskincenter A/S,Esbjerg,2018-10-31,2017-11-01,40.0,2018-12-18,Esbjerg,"Der trÃ¦ffes pÃ¥ generalforsamlingen den 16. januar 2019 beslutning om, at Ã¥rsregnskabet for 2018/19 og fremover ikke skal revideres. Direktionen anser betingelserne for at undlade revision for opfyldt.",76 11 44 00,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:26673086,indberetninger-20180424,2.5117166,36903791.0,AWjgylrtet7j816D4DZt,2019-02-12T08:20:42.264Z,2019-02-12T08:19:43.480Z,regnskab,0.0,,2018-10-31,2017-11-01,X19-AK-41-FW,2019-02-12T08:19:43.984Z,250000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36903791,2018-10-31,2018-10-31,c197,,http://regnskaber.virk.dk/19730963/ZG9rdW1lbnRsYWdlcjovLzAzLzdjL2Q5L2MzL2Y1LzU3ZDgtNDhiZi1iZmQ4LWRjN2FmNjVjN2E1Zg.pdf,http://regnskaber.virk.dk/19730963/ZG9rdW1lbnRsYWdlcjovLzAzLzBlL2QyLzE2LzY4L2YzODctNDMyOS04NmQ0LWI2YTk1MjhmZDNjMg.xml,,Danmark,Esbjerg N,6715.0,4.0,Edison Park,Bramming,6740.0,14.0,Stationsvej,"6715, Esbjerg N","Edison Park, 4",kapitalejerne,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. oktober 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. november 2017 - 31. oktober 2018.",2018-12-18,2018-12-18,2015-03-01,2019-01-16,statsautoriseret revisor,Egenkapital,32285201.0,36903791.0,32285201.0,mne19733,Direktionen har dags dato aflagt Ã¥rsrapporten for 2017/18 for Hans-JÃ¸rn Madsen Holding ApS.,Ãrsrapport,,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",SÃ¸ren RishÃ¸j,Hans-JÃ¸rn Madsen,Hans-JÃ¸rn Madsen,"Martinsen, Statsautoriseret Revisionspartnerselskab",Hans-JÃ¸rn Madsen Holding ApS,"Martinsen, Statsautoriseret Revisionspartnerselskab",Bramming,2016-11-01,2017-10-31,0.0,Vejrup Maskincenter A/S,Esbjerg,2018-10-31,2017-11-01,40.0,2018-12-18,Esbjerg,"Der trÃ¦ffes pÃ¥ generalforsamlingen den 16. januar 2019 beslutning om, at Ã¥rsregnskabet for 2018/19 og fremover ikke skal revideres. Direktionen anser betingelserne for at undlade revision for opfyldt.",76 11 44 00,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:26673086,indberetninger-20180424,2.5117166,36903791.0,AWjgylrtet7j816D4DZt,2019-02-12T08:20:42.264Z,2019-02-12T08:19:43.480Z,regnskab,0.0,,2018-10-31,2017-11-01,X19-AK-41-FW,2019-02-12T08:19:43.984Z,3005234.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
